РАСПИСАНИЕ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       учебных занятий на 1 семестр 2025/2026 уч.год,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,«УТВЕРЖДАЮ»,
,,,,,,,, ,,,,,,,,,,,,,,,,,,,,Директор колледжа,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,                          В.П. Смирнов,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,«  »    2025г,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9ПО-11,,9ПО-12к,,9СК-11,,9ИС-11,,9ИС-12,,9И-11,,9И-12к,,9ВР-11,,9ИИ-11к,,9МР-11,,9УК-11,,9РС-11,,9ТМ-11,,9ТМ-12,
    понедельник,1,ИНОСТРАННЫЙ ЯЗЫК  ,"715, 507",МАТЕМАТИКА,514,,,ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,505,БИОЛОГИЯ,608,ГЕОГРАФИЯ,718,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С/з,МАТЕМАТИКА,713,ИНФОРМАТИКА,521,ЛИТЕРАТУРА,710,ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,706,РУССКИЙ ЯЗЫК,613,ИСТОРИЯ,618,МАТЕМАТИКА,517
,," Бадрутдинова А.А., Невзорова Э.Б.",,Романова Л.А.,,,,Осипов Д.Л.,,Баева И.Г.,,Евстафьева В.А.,,Дмитриев В.В.,,Маслякова А.В.,,Литвинова С.В.,,Плиско Е.С.,,Курсиш Э.В.,,,,Белова С.Е.,,Долгова Т.В.,
,2,МАТЕМАТИКА,514,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С\з,ГЕОГРАФИЯ,718,ИНОСТРАННЫЙ ЯЗЫК  ,"715, 607",ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,505,ФИЗИКА ,521,РУССКИЙ ЯЗЫК   ,613,БИОЛОГИЯ,608,ОБЩЕСТВОЗНАНИЕ,722,МАТЕМАТИКА,517,ЛИТЕРАТУРА,710,МАТЕМАТИКА,713,ИНОСТРАННЫЙ ЯЗЫК  ,"714, 507",ИСТОРИЯ,618
,,Романова Л.А.,,Дмитриев В.В.,,Евстафьева В.А.,,"Бадрутдинова А.А., Ившина Я.М.",,Осипов Д.Л.,,Литвинова С.В.,,Андронникова М.С.,,Баева И.Г.,,Пахомова Н.Г.,,Долгова Т.В.,,Плиско Е.С.,,Маслякова А.В.,,"Апурина Л.К., Невзорова Э.Б.",,Белова С.Е.,
,3,,,ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,505,МАТЕМАТИКА,713,БИОЛОГИЯ,608,ГЕОГРАФИЯ,718,МАТЕМАТИКА,514,ФИЗИКА ,521,ОБЩЕСТВОЗНАНИЕ,722,РУССКИЙ ЯЗЫК   ,613,,,ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С/з,ИСТОРИЯ,618,МАТЕМАТИКА                                                                      ----------------                                                                                      ЛИТЕРАТУРА,517  710,ОБЩЕСТВОЗНАНИЕ,616
,,,,Осипов Д.Л.,,Маслякова А.В.,,Баева И.Г.,,Евстафьева В.А.,,Романова Л.А.,,Литвинова С.В.,,Пахомова Н.Г.,,Андронникова М.С.,,,,Дмитриев В.В.,,Белова С.Е.,,,,Анищенко А.Ю.,
,4,,,ОБЩЕСТВОЗНАНИЕ,616,ОБЩЕСТВОЗНАНИЕ,722,ГЕОГРАФИЯ,718,МАТЕМАТИКА,716,,,МАТЕМАТИКА,514,,,,,,,МАТЕМАТИКА,713,,,,,,
,,,,Анищенко А.Ю.,,Пахомова Н.Г.,,Евстафьева В.А.,,Донецкая О.В.,,,,Романова Л.А.,,,,,,,,Маслякова А.В.,,,,,,,
    вторник,1,,,,,ЛИТЕРАТУРА                                                                    _________________________                                                    МАТЕМАТИКА                                                                        ,520    713,ИНОСТРАННЫЙ ЯЗЫК  ,"715, 607",РУССКИЙ ЯЗЫК,613,ИНОСТРАННЫЙ ЯЗЫК  ,434            507,РУССКИЙ ЯЗЫК                                                                                                      --------------------                                                        ЛИТЕРАТУРА,613           520,ИНОСТРАННЫЙ ЯЗЫК                          ,607               507,БИОЛОГИЯ,608,ИСТОРИЯ,618,,,МАТЕМАТИКА,713,ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,706,ХИМИЯ,601
,,,,,,,,,,,,,,,,,,Баева И.Г.,,Белова С.Е. ,,,,,,Курсиш Э.В.,,Андриенко Т.В.,
,2,БИОЛОГИЯ,608,ИНОСТРАННЫЙ ЯЗЫК  ,715  507,ИНОСТРАННЫЙ ЯЗЫК  ,434    607,ЛИТЕРАТУРА,520,МАТЕМАТИКА,716,ИСТОРИЯ,616,ХИМИЯ,601,РУССКИЙ ЯЗЫК,613,МАТЕМАТИКА,713,ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,706,ИСТОРИЯ,618,ИНФОРМАТИКА,510,ИНФОРМАТИКА,409,ФИЗИКА ,722
,,Баева И.Г.,,"Бадрутдинова А.А., Невзорова Э.Б.",,"Голощапов Д.О., Ившина Я.М.",,Ежова А.С.,,Донецкая О.В.,,Анищенко А.Ю.,,Андриенко Т.В.,,Андронникова М.С.,,Маслякова А.В.,,Курсиш Э.В.,,Белова С.Е.,,Романенко Р.Н.,,Дорохина К.П.,,Иванова О.Л.,
,3,ЛИТЕРАТУРА,520,ФИЗИКА ,521,ИНФОРМАТИКА,701,ХИМИЯ,601,ИНОСТРАННЫЙ ЯЗЫК  ,"434, 515",БИОЛОГИЯ,608,ИНОСТРАННЫЙ ЯЗЫК  ,"714,   715",ФИЗИЧЕСКАЯ КУЛЬТУРА   ,С\з,,,ФИЗИКА ,722,ИНФОРМАТИКА,510,РУССКИЙ ЯЗЫК,613,ОБЩЕСТВОЗНАНИЕ,616,ИНФОРМАТИКА,409
,,Ежова А.С.,,Литвинова С.В.,,Лазуткина Н.С.,,Андриенко Т.В.,,"Голощапов Д.О., Клещева Е.Г.",,Баева И.Г.,,"Апурина Л.К., Бадрутдинова А.А.",,Макаров Д.Р.,,,,Иванова О.Л.,,Романенко Р.Н.,,Андронникова М.С.,,Анищенко А.Ю.,,Дорохина К.П.,
,4,ФИЗИКА ,521,,,ИНФОРМАТИКА,701,,,,,РУССКИЙ ЯЗЫК                                                    ,613,,,,,,,ХИМИЯ,601,БИОЛОГИЯ,608,ИНОСТРАННЫЙ ЯЗЫК                                                                ________________                                                  ЛИТЕРАТУРА ,714     515                           ____ 520,,,ИНОСТРАННЫЙ ЯЗЫК  ,714     515
,,Литвинова С.В.,,,,Лазуткина Н.С.,,,,,,,,,,,,,,Андриенко Т.В.,,Баева И.Г.,,,,,,,
    среда,1,ХИМИЯ,601,ЛИТЕРАТУРА                                                                  __________________                                                               РУССКИЙ ЯЗЫК,520,ФИЗИКА ,609,,,,,,,,,ИНФОРМАТИКА,701,,,,,РУССКИЙ ЯЗЫК ,424,МАТЕМАТИКА,713,ФИЗИКА ,722,,
,,Андриенко Т.В.,,,,Фролова Е.В.,,,,,,,,,,Латыпова А.А.,,,,,,Плиско Е.С.,,Маслякова А.В.,,Иванова О.Л.,,,
,2,ОБЩЕСТВОЗНАНИЕ,616,РУССКИЙ ЯЗЫК  ,520,МАТЕМАТИКА,713,МАТЕМАТИКА,514,ХИМИЯ,601,ФИЗИКА ,521,,,ОСНОВЫ БЕЗОПАСНОСТИ И ЗАЩИТЫ РОДИНЫ,505,ЛИТЕРАТУРА,613,ИНФОРМАТИКА,701,ФИЗИКА ,722,ФИЗИКА ,609,РУССКИЙ ЯЗЫК ,710,ИНОСТРАННЫЙ ЯЗЫК  ,"714,    515"
,,Анищенко А.Ю.,,Ежова А.С.,,Маслякова А.В.,,Романова Л.А.,,Андриенко Т.В.,,Литвинова С.В.,,,,Осипов Д.Л.,,Андронникова М.С.,,Латыпова А.А.,,Иванова О.Л.,,Фролова Е.В.,,Плиско Е.С.,,"Апурина Л.К., Клещева Е.Г.",
